spot,Flags,Column,Row,Name,ID,RefNumber,c253295110048_ar2_jun1912_A_SL,c253295110048_ar1_jun1912_B_SL,c253295110048_ar4_jun1912_C_SL,c253295110048_ar3_jun1912_A_L,c253295110048_ar6_jun1912_B_L,c253295110048_ar5_jun1912_C_L,c253295110048_ar8_jun1912_A_C,c253295110048_ar7_jun1912_B_C,c253295110054_ar2_jul1112_C_C
111,0,59,33,119654707_EF036595.2_367-1338,CUST_131_PI426232940,6216,990,1559,538,485,351,537,310,384,30
112,0,77,40,119654707_EF036595.2_367-1338,CUST_132_PI426232940,3179,677,1148,424,390,283,494,255,276,17
113,0,95,67,119654707_EF036595.2_367-1338,CUST_131_PI426232940,295,896,1257,534,430,324,516,308,325,42
114,0,19,69,119654707_EF036595.2_367-1338,CUST_132_PI426232940,12758,798,1330,397,403,268,538,218,327,17
115,0,91,78,119654707_EF036595.2_367-1338,CUST_130_PI426232940,864,2177,3241,1107,1105,691,1339,725,818,191
116,0,72,133,119654707_EF036595.2_367-1338,CUST_131_PI426232940,4034,743,1097,373,370,228,411,204,242,39
117,0,72,140,119654707_EF036595.2_367-1338,CUST_130_PI426232940,3949,1682,2524,860,846,524,992,494,691,161
118,0,15,15,122086255_AB289569.1_400-594,CUST_504_PI426227486,13441,-1,1,0,1,-1,2,1,-10,-2
119,0,63,122,122086255_AB289569.1_400-594,CUST_504_PI426227486,5434,-1,1,0,-3,3,3,0,0,1
120,0,19,128,122086255_AB289569.1_400-594,CUST_504_PI426227486,12647,2,1,-1,-2,1,1,0,0,1
121,0,48,62,124507305_EF363320.1_351-617,CUST_1_PI426227893,7924,3,-15,2,2,-1,3,3,7,1
122,0,59,83,124507305_EF363320.1_351-617,CUST_1_PI426227893,6191,8,4,2,1,1,11,0,0,1
123,0,48,86,124507305_EF363320.1_351-617,CUST_3_PI426227893,7912,1,1,0,1,-1,1,-6,-2,0
124,0,2,143,124507305_EF363320.1_351-617,CUST_3_PI426227893,15509,-1,-2,2,0,2,4,1,1,0
125,0,71,152,124507305_EF363320.1_351-617,CUST_1_PI426227893,4107,2,5,2,-1,1,4,2,5,3
126,0,48,164,124507305_EF363320.1_351-617,CUST_3_PI426227893,7873,1,2,0,1,0,2,0,0,1
127,0,80,68,124507317_EF363324.1_205-516,CUST_6_PI426227893,2673,0,15,2,1,-1,2,1,1,-3
128,0,67,141,124507317_EF363324.1_205-516,CUST_6_PI426227893,4850,2,10,1,-8,1,3,2,0,9
129,0,81,164,124507317_EF363324.1_205-516,CUST_6_PI426227893,2461,4,3,1,1,0,3,1,1,5
130,0,48,10,124507317_EF363324.1_351-617,CUST_9_PI426227893,7950,-14,-1,2,3,2,6,2,2,-8
131,0,71,18,124507317_EF363324.1_351-617,CUST_7_PI426227893,4174,2,-3,0,1,-1,2,0,1,2
132,0,89,36,124507317_EF363324.1_351-617,CUST_9_PI426227893,1213,6,7,1,1,1,7,0,2,-1
133,0,19,68,124507317_EF363324.1_351-617,CUST_7_PI426227893,12677,-3,-4,-1,-2,1,2,-1,-2,-2
134,0,59,82,124507317_EF363324.1_351-617,CUST_7_PI426227893,6110,0,2,1,-1,0,0,-1,-1,-5
135,0,43,149,124507317_EF363324.1_351-617,CUST_9_PI426227893,8782,3,11,0,2,1,2,-1,-1,0
136,0,21,41,124507323_EF363326.1_205-516,CUST_12_PI426227893,12444,2,4,0,2,1,2,0,1,4
137,0,21,69,124507323_EF363326.1_205-516,CUST_12_PI426227893,12430,0,4,-5,0,1,0,0,2,3
138,0,41,155,124507323_EF363326.1_205-516,CUST_12_PI426227893,9107,1,10,2,-1,2,1,3,2,3
139,0,41,37,124507323_EF363326.1_351-617,CUST_15_PI426227893,9166,1,-1,-13,-11,-10,1,0,-2,-3
140,0,43,68,124507323_EF363326.1_351-617,CUST_13_PI426227893,8741,1,5,-1,1,1,0,2,-1,-1
